lang,family,branch
Polish,Indo-European,Balto-Slavic
Portuguese,Indo-European,Italic
Portuguese,Indo-European,Italic
Italian,Indo-European,Italic
Italian,Indo-European,Italic
Portuguese,Indo-European,Italic
Portuguese,Indo-European,Italic
Portuguese,Indo-European,Italic
Greek,Indo-European,Greek
Portuguese,Indo-European,Italic
Portuguese,Indo-European,Italic
Italian,Indo-European,Italic
Polish,Indo-European,Balto-Slavic
Portuguese,Indo-European,Italic
Portuguese,Indo-European,Italic
Polish,Indo-European,Balto-Slavic
Greek,Indo-European,Greek
Italian,Indo-European,Italic
Lithuanian,Indo-European,Balto-Slavic
Spanish,Indo-European,Italic
Hungarian,Uralic,Uralic
Italian,Indo-European,Italic
Portuguese,Indo-European,Italic
Portuguese,Indo-European,Italic
French,Indo-European,Italic
Spanish,Indo-European,Italic
Spanish,Indo-European,Italic
Portuguese,Indo-European,Italic
Greek,Indo-European,Greek
Polish,Indo-European,Balto-Slavic
English,Indo-European,Germanic
Portuguese,Indo-European,Italic
Polish,Indo-European,Balto-Slavic
Setswana,Niger-Congo,Niger-Congo
Polish,Indo-European,Balto-Slavic
Italian,Indo-European,Italic
Portuguese,Indo-European,Italic
Polish,Indo-European,Balto-Slavic
Polish,Indo-European,Balto-Slavic
Portuguese,Indo-European,Italic
Polish,Indo-European,Balto-Slavic
Portuguese,Indo-European,Italic
Portuguese,Indo-European,Italic
Spanish,Indo-European,Italic
Czech,Indo-European,Balto-Slavic
Portuguese,Indo-European,Italic
Italian,Indo-European,Italic
Portuguese,Indo-European,Italic
Polish,Indo-European,Balto-Slavic
Polish,Indo-European,Balto-Slavic
Portuguese,Indo-European,Italic
Slovene,Indo-European,Balto-Slavic
Italian,Indo-European,Italic
Afrikaans,Indo-European,Germanic
Polish,Indo-European,Balto-Slavic
English,Indo-European,Germanic
Polish,Indo-European,Balto-Slavic
Italian,Indo-European,Italic
Polish,Indo-European,Balto-Slavic
Spanish,Indo-European,Italic
Polish,Indo-European,Balto-Slavic
Portuguese,Indo-European,Italic
Polish,Indo-European,Balto-Slavic
Portuguese,Indo-European,Italic
Polish,Indo-European,Balto-Slavic
