word,condition,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,participant_response.keys,participant_response.rt,participant,session,date,expName,psychopyVersion,frameRate,
DhMtGU,1,,,,,,,,,0,0,0,24,d,1.5079948001075536,621849,001,2023-03-09_18h21.52.083,PsychoPy Retry,2022.2.5,59.96296686889758,
ALGZOc,0,,,,,,,,,0,1,1,6,d,0.13070120010524988,621849,001,2023-03-09_18h21.52.083,PsychoPy Retry,2022.2.5,59.96296686889758,
OkGYJU,0,,,,,,,,,0,2,2,3,k,0.006863600108772516,621849,001,2023-03-09_18h21.52.083,PsychoPy Retry,2022.2.5,59.96296686889758,
khmhOc,1,,,,,,,,,0,3,3,20,d,0.14015750004909933,621849,001,2023-03-09_18h21.52.083,PsychoPy Retry,2022.2.5,59.96296686889758,
JdOAYO,0,,,,,,,,,0,4,4,9,k,0.10764640010893345,621849,001,2023-03-09_18h21.52.083,PsychoPy Retry,2022.2.5,59.96296686889758,
KAERMA,0,,,,,,,,,0,5,5,19,d,0.030543400207534432,621849,001,2023-03-09_18h21.52.083,PsychoPy Retry,2022.2.5,59.96296686889758,
lmbYJU,0,,,,,,,,,0,6,6,7,k,0.040854600025340915,621849,001,2023-03-09_18h21.52.083,PsychoPy Retry,2022.2.5,59.96296686889758,
mdkKOM,0,,,,,,,,,0,7,7,15,k,0.10523410001769662,621849,001,2023-03-09_18h21.52.083,PsychoPy Retry,2022.2.5,59.96296686889758,
ckLALG,0,,,,,,,,,0,8,8,4,k,0.12032940005883574,621849,001,2023-03-09_18h21.52.083,PsychoPy Retry,2022.2.5,59.96296686889758,
uQuZcr,0,,,,,,,,,0,9,9,1,k,0.10454240022227168,621849,001,2023-03-09_18h21.52.083,PsychoPy Retry,2022.2.5,59.96296686889758,
YOZNOc,0,,,,,,,,,0,10,10,0,d,0.11483170022256672,621849,001,2023-03-09_18h21.52.083,PsychoPy Retry,2022.2.5,59.96296686889758,
DhMtlR,0,,,,,,,,,0,11,11,14,k,0.09486140008084476,621849,001,2023-03-09_18h21.52.083,PsychoPy Retry,2022.2.5,59.96296686889758,
BATOcJ,1,,,,,,,,,0,12,12,23,d,0.0051517002284526825,621849,001,2023-03-09_18h21.52.083,PsychoPy Retry,2022.2.5,59.96296686889758,
LuaUrN,0,,,,,,,,,0,13,13,5,k,0.0833868000190705,621849,001,2023-03-09_18h21.52.083,PsychoPy Retry,2022.2.5,59.96296686889758,
ECtbDG,1,,,,,,,,,0,14,14,28,d,0.038604200119152665,621849,001,2023-03-09_18h21.52.083,PsychoPy Retry,2022.2.5,59.96296686889758,
ALGZCk,1,,,,,,,,,0,15,15,36,k,0.05466550006531179,621849,001,2023-03-09_18h21.52.083,PsychoPy Retry,2022.2.5,59.96296686889758,
LuaUOM,1,,,,,,,,,0,16,16,35,d,0.08692480018362403,621849,001,2023-03-09_18h21.52.083,PsychoPy Retry,2022.2.5,59.96296686889758,
KAERMO,1,,,,,,,,,0,17,17,29,k,0.007099600043147802,621849,001,2023-03-09_18h21.52.083,PsychoPy Retry,2022.2.5,59.96296686889758,
rkJuOc,0,,,,,,,,,0,18,18,2,d,0.1033677002415061,621849,001,2023-03-09_18h21.52.083,PsychoPy Retry,2022.2.5,59.96296686889758,
AbKDOc,1,,,,,,,,,0,19,19,22,k,0.006242700153961778,621849,001,2023-03-09_18h21.52.083,PsychoPy Retry,2022.2.5,59.96296686889758,
ECtbDl,0,,,,,,,,,0,20,20,18,k,0.11379410023801029,621849,001,2023-03-09_18h21.52.083,PsychoPy Retry,2022.2.5,59.96296686889758,
ckLALl,1,,,,,,,,,0,21,21,34,d,0.06673369999043643,621849,001,2023-03-09_18h21.52.083,PsychoPy Retry,2022.2.5,59.96296686889758,
EYtYRr,1,,,,,,,,,0,22,22,21,k,0.41730750002898276,621849,001,2023-03-09_18h21.52.083,PsychoPy Retry,2022.2.5,59.96296686889758,
lmbYmt,1,,,,,,,,,0,23,23,37,d,0.03491890011355281,621849,001,2023-03-09_18h21.52.083,PsychoPy Retry,2022.2.5,59.96296686889758,
NkUAlR,1,,,,,,,,,0,24,24,38,k,0.025167100131511688,621849,001,2023-03-09_18h21.52.083,PsychoPy Retry,2022.2.5,59.96296686889758,
NkUAGU,0,,,,,,,,,0,25,25,8,k,0.13891170010901988,621849,001,2023-03-09_18h21.52.083,PsychoPy Retry,2022.2.5,59.96296686889758,
EtMDMO,1,,,,,,,,,0,26,26,26,k,0.11289130011573434,621849,001,2023-03-09_18h21.52.083,PsychoPy Retry,2022.2.5,59.96296686889758,
YOZNAd,1,,,,,,,,,0,27,27,30,k,0.10070800012908876,621849,001,2023-03-09_18h21.52.083,PsychoPy Retry,2022.2.5,59.96296686889758,
AbKDCk,0,,,,,,,,,0,28,28,12,d,0.01566649996675551,621849,001,2023-03-09_18h21.52.083,PsychoPy Retry,2022.2.5,59.96296686889758,
JdOAYA,1,,,,,,,,,0,29,29,39,k,0.07322790008038282,621849,001,2023-03-09_18h21.52.083,PsychoPy Retry,2022.2.5,59.96296686889758,
OkGYmt,1,,,,,,,,,0,30,30,33,d,0.006840200163424015,621849,001,2023-03-09_18h21.52.083,PsychoPy Retry,2022.2.5,59.96296686889758,
uQuZcO,1,,,,,,,,,0,31,31,31,k,0.06626920006237924,621849,001,2023-03-09_18h21.52.083,PsychoPy Retry,2022.2.5,59.96296686889758,
BATOcm,0,,,,,,,,,0,32,32,13,d,0.028743000235408545,621849,001,2023-03-09_18h21.52.083,PsychoPy Retry,2022.2.5,59.96296686889758,
EtMDMC,0,,,,,,,,,0,33,33,16,k,0.07020900025963783,621849,001,2023-03-09_18h21.52.083,PsychoPy Retry,2022.2.5,59.96296686889758,
PEtEJU,1,,,,,,,,,0,34,34,27,d,0.006813900079578161,621849,001,2023-03-09_18h21.52.083,PsychoPy Retry,2022.2.5,59.96296686889758,
khmhAd,0,,,,,,,,,0,35,35,10,k,0.06708940025418997,621849,001,2023-03-09_18h21.52.083,PsychoPy Retry,2022.2.5,59.96296686889758,
EYtYRO,0,,,,,,,,,0,36,36,11,d,0.0172133999876678,621849,001,2023-03-09_18h21.52.083,PsychoPy Retry,2022.2.5,59.96296686889758,
PEtEmt,0,,,,,,,,,0,37,37,17,k,0.08796250028535724,621849,001,2023-03-09_18h21.52.083,PsychoPy Retry,2022.2.5,59.96296686889758,
rkJuCk,1,,,,,,,,,0,38,38,32,d,0.009274100186303258,621849,001,2023-03-09_18h21.52.083,PsychoPy Retry,2022.2.5,59.96296686889758,
mdkKrN,1,,,,,,,,,0,39,39,25,d,0.501167300157249,621849,001,2023-03-09_18h21.52.083,PsychoPy Retry,2022.2.5,59.96296686889758,
