word,condition,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,participant_response.keys,participant_response.rt,participant,session,date,expName,psychopyVersion,frameRate,
tdDdAP,0,,,,,,,,,0,0,0,11,k,35.27806040016003,490252,001,2023-03-09_16h57.31.668,PsychoPy Retry,2022.2.5,60.19715774663928,
LOLkUD,1,,,,,,,,,0,1,1,39,d,0.6415772000327706,490252,001,2023-03-09_16h57.31.668,PsychoPy Retry,2022.2.5,60.19715774663928,
LckGNY,1,,,,,,,,,0,2,2,36,k,0.6587795000523329,490252,001,2023-03-09_16h57.31.668,PsychoPy Retry,2022.2.5,60.19715774663928,
lCbcml,1,,,,,,,,,0,3,3,22,k,0.5290643000043929,490252,001,2023-03-09_16h57.31.668,PsychoPy Retry,2022.2.5,60.19715774663928,
laYmrY,1,,,,,,,,,0,4,4,32,d,0.42821869999170303,490252,001,2023-03-09_16h57.31.668,PsychoPy Retry,2022.2.5,60.19715774663928,
CmcOkd,1,,,,,,,,,0,5,5,29,k,0.3111803999636322,490252,001,2023-03-09_16h57.31.668,PsychoPy Retry,2022.2.5,60.19715774663928,
tmAKJU,1,,,,,,,,,0,6,6,23,d,0.2282698000781238,490252,001,2023-03-09_16h57.31.668,PsychoPy Retry,2022.2.5,60.19715774663928,
mBYlYA,1,,,,,,,,,0,7,7,28,d,0.29576920019462705,490252,001,2023-03-09_16h57.31.668,PsychoPy Retry,2022.2.5,60.19715774663928,
LuNZBb,1,,,,,,,,,0,8,8,33,d,0.21744540007784963,490252,001,2023-03-09_16h57.31.668,PsychoPy Retry,2022.2.5,60.19715774663928,
tdDdYL,1,,,,,,,,,0,9,9,21,k,0.47847400000318885,490252,001,2023-03-09_16h57.31.668,PsychoPy Retry,2022.2.5,60.19715774663928,
EPERdJ,1,,,,,,,,,0,10,10,27,d,0.9548831002321094,490252,001,2023-03-09_16h57.31.668,PsychoPy Retry,2022.2.5,60.19715774663928,
dJNrAP,1,,,,,,,,,0,11,11,31,k,23.999215400079265,490252,001,2023-03-09_16h57.31.668,PsychoPy Retry,2022.2.5,60.19715774663928,
LuNZJU,0,,,,,,,,,0,12,12,3,d,0.27803260018117726,490252,001,2023-03-09_16h57.31.668,PsychoPy Retry,2022.2.5,60.19715774663928,
EYtYRY,0,,,,,,,,,0,13,13,16,d,0.20012710010632873,490252,001,2023-03-09_16h57.31.668,PsychoPy Retry,2022.2.5,60.19715774663928,
