"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","response","stimulus","success","item","task","correct_response","testing_condition","correct","target","confound","name"
"pavlovia","0","726","0.0-0.0","5f0d65ef2ad0c60009209f0f","650c16f0f2faf8d7a0d14c09","651c1c7f270f1a2b5ee1f01f","","","","","","","","","","","",""
"survey-html-form","1","2928","0.0-1.0","5f0d65ef2ad0c60009209f0f","650c16f0f2faf8d7a0d14c09","651c1c7f270f1a2b5ee1f01f","2200","{""ID"":""5f0d65ef2ad0c60009209f0f""}","","","","","","","","","",""
"html-keyboard-response","2","3682","0.0-2.0","5f0d65ef2ad0c60009209f0f","650c16f0f2faf8d7a0d14c09","651c1c7f270f1a2b5ee1f01f","753"," ","<p style=""font-size: 15px;"">Before beginning, we ask that you read the consent information and confirm your agreement to participate in the experiment.</p>
      <p style=""font-size: 15px;""> We ask that you remember that this is a research project and that your participation is entirely voluntary. You can stop your participation at any time, without needing to provide any explanation. The study we're asking you to participate in aims at examining how readers process written words. You will be engaged in a session of apprximately 20 minutes, followed by a brief questionnaire. You will have the opportunity to take a few breaks during the experiment. You will be paid £4 for your participation, corresponding to a rate of £8/hour. While this experiment looks at cognitive faculties, this experiment doesn't constitute clinical proof of eventual pathologies.</p>
      <p style=""font-size: 15px;"">All of the information collected thanks to yours and others' participation will be held in a secure password-protected server, and will not be shared with anyone not authorised to view it. Your personal information will be kept with an arbitrary participant ID. Thanks to this data anonymity process, any researcher analysing the data won't be able to track the information back to a specific participant. Therefore, this process will make identifying you impossibile, even when results from the study will be published in scientific reviews, presented at congresses, or at any other public forum. More generally, the collected data will be treated in accordance with the laws on privacy and conformity to the Legislative Degree n. 196 ""Code regarding the protection of personal data"" of the 30th of June 2003 and to the European Regulation 2016/670 (General Data Protection Regulation - GDPR). The Data Protection Officer is Avv. Valentina Carollo, who can be contacted at the following email addresses: <a href=""mailto:dpo@sissa.it"">dpo@sissa.it</a> or <a href=""mailto:rpd@sissa.it"">rpd@sissa.it</a> - PEC: <a href=""mailto:protocollo@pec.sissa.it"">protocollo@pec.sissa.it</a>.</p>
      <p style=""font-size: 15px;""> Before expressing your consent to participate, we would like to remind you again that in case you need explanations on any aspect of the experimental procedure, the researcher is at your disposition (<a href=""mailto:aliebelt@sissa.it"">aliebelt@sissa.it</a>, <a href=""mailto:davide.crepaldi@sissa.it"">davide.crepaldi@sissa.it</a>).</p>
      <p style=""font-size: 15px;"">If you would like to download the informed consent form, you can do so here: <a href=""BASL-Informed_Consent.pdf"" download>informed consent form</a>.</p>
      <p style=""font-size: 15px;"">We ask that you press the spacebar to proceed to the consent section.</p>","","","","","","","","",""
"survey-html-form","3","8160","0.0-3.0","5f0d65ef2ad0c60009209f0f","650c16f0f2faf8d7a0d14c09","651c1c7f270f1a2b5ee1f01f","4477","{""consent1"":""YES"",""consent2"":""YES"",""consent3"":""YES"",""consent4"":""YES"",""consent5"":""YES"",""consent6"":""YES""}","","","","","","","","","",""
"fullscreen","4","10143","0.0-4.0","5f0d65ef2ad0c60009209f0f","650c16f0f2faf8d7a0d14c09","651c1c7f270f1a2b5ee1f01f","","","","true","","","","","","","",""
"html-keyboard-response","5","11049","0.0-5.0","5f0d65ef2ad0c60009209f0f","650c16f0f2faf8d7a0d14c09","651c1c7f270f1a2b5ee1f01f","904"," ","<p>Welcome, and thank you very much for your time!</p>
      <p>In this experiment, you'll be a language expert who's been asked to take a look at words that Earth has received in its first communication with aliens. Your task, in this first part of the experiment, is to pay close attention to the words you'll be shown; later, world leaders will ask you questions on what you saw. The words will be shown to you quite quickly; it seems that the aliens were in a hurry :-)</p>
      <p>Press the spacebar to continue.<p>","","","","","","","","",""
"html-keyboard-response","6","11104","0.0-6.0","5f0d65ef2ad0c60009209f0f","650c16f0f2faf8d7a0d14c09","651c1c7f270f1a2b5ee1f01f","null","null","<p style=""font-size: 120px; font-family: BACS""> </p>","","","","","","","","",""
"html-keyboard-response","7","14456","0.0-7.0","5f0d65ef2ad0c60009209f0f","650c16f0f2faf8d7a0d14c09","651c1c7f270f1a2b5ee1f01f","3351"," ","<p>Here is an example of the words you'll see:</p>
      <img src='esempio.png' height='400px'>
      <p>When you're ready to begin, press the spacebar.</p></div>","","","","","","","","",""
"html-keyboard-response","8","15470","0.0-8.0-0.0","5f0d65ef2ad0c60009209f0f","650c16f0f2faf8d7a0d14c09","651c1c7f270f1a2b5ee1f01f","null","null","<p style=""font-size: 60px; font-family: BACS"">lGZvYbN</p>","","","","","","","","",""
"html-keyboard-response","9","16485","0.0-8.0-0.1","5f0d65ef2ad0c60009209f0f","650c16f0f2faf8d7a0d14c09","651c1c7f270f1a2b5ee1f01f","null","null","<p style=""font-size: 60px; font-family: BACS"">adkrmvG</p>","","","","","","","","",""
"html-keyboard-response","10","17486","0.0-8.0-0.2","5f0d65ef2ad0c60009209f0f","650c16f0f2faf8d7a0d14c09","651c1c7f270f1a2b5ee1f01f","null","null","<p style=""font-size: 60px; font-family: BACS"">kLvdNLUOk</p>","","","","","","","","",""
"html-keyboard-response","11","18500","0.0-8.0-0.3","5f0d65ef2ad0c60009209f0f","650c16f0f2faf8d7a0d14c09","651c1c7f270f1a2b5ee1f01f","null","null","<p style=""font-size: 60px; font-family: BACS"">vAarmZb</p>","","","","","","","","",""
"html-keyboard-response","12","19503","0.0-8.0-0.4","5f0d65ef2ad0c60009209f0f","650c16f0f2faf8d7a0d14c09","651c1c7f270f1a2b5ee1f01f","null","null","<p style=""font-size: 60px; font-family: BACS"">MlthCdt</p>","","","","","","","","",""
"html-keyboard-response","13","20517","0.0-8.0-0.5","5f0d65ef2ad0c60009209f0f","650c16f0f2faf8d7a0d14c09","651c1c7f270f1a2b5ee1f01f","null","null","<p style=""font-size: 60px; font-family: BACS"">YlCPBDOAK</p>","","","","","","","","",""
"html-keyboard-response","14","21533","0.0-8.0-0.6","5f0d65ef2ad0c60009209f0f","650c16f0f2faf8d7a0d14c09","651c1c7f270f1a2b5ee1f01f","null","null","<p style=""font-size: 60px; font-family: BACS"">lGZvmZb</p>","","","","","","","","",""
"html-keyboard-response","15","22535","0.0-8.0-0.7","5f0d65ef2ad0c60009209f0f","650c16f0f2faf8d7a0d14c09","651c1c7f270f1a2b5ee1f01f","null","null","<p style=""font-size: 60px; font-family: BACS"">YlCPBMAB</p>","","","","","","","","",""
"html-keyboard-response","16","23551","0.0-8.0-0.8","5f0d65ef2ad0c60009209f0f","650c16f0f2faf8d7a0d14c09","651c1c7f270f1a2b5ee1f01f","null","null","<p style=""font-size: 60px; font-family: BACS"">RYtkcDOAK</p>","","","","","","","","",""
"html-keyboard-response","17","24566","0.0-8.0-0.9","5f0d65ef2ad0c60009209f0f","650c16f0f2faf8d7a0d14c09","651c1c7f270f1a2b5ee1f01f","null","null","<p style=""font-size: 60px; font-family: BACS"">DBPhcMCkm</p>","","","","","","","","",""
"html-keyboard-response","18","25583","0.0-8.0-0.10","5f0d65ef2ad0c60009209f0f","650c16f0f2faf8d7a0d14c09","651c1c7f270f1a2b5ee1f01f","null","null","<p style=""font-size: 60px; font-family: BACS"">GLYrAZvkL</p>","","","","","","","","",""
"html-keyboard-response","19","26599","0.0-8.0-0.11","5f0d65ef2ad0c60009209f0f","650c16f0f2faf8d7a0d14c09","651c1c7f270f1a2b5ee1f01f","null","null","<p style=""font-size: 60px; font-family: BACS"">DBPhcCdt</p>","","","","","","","","",""
"html-keyboard-response","20","27600","0.0-8.0-0.12","5f0d65ef2ad0c60009209f0f","650c16f0f2faf8d7a0d14c09","651c1c7f270f1a2b5ee1f01f","null","null","<p style=""font-size: 60px; font-family: BACS"">AYkEhRCdc</p>","","","","","","","","",""
"html-keyboard-response","21","28615","0.0-8.0-0.13","5f0d65ef2ad0c60009209f0f","650c16f0f2faf8d7a0d14c09","651c1c7f270f1a2b5ee1f01f","null","null","<p style=""font-size: 60px; font-family: BACS"">hbmAMAB</p>","","","","","","","","",""
"html-keyboard-response","22","29616","0.0-8.0-0.14","5f0d65ef2ad0c60009209f0f","650c16f0f2faf8d7a0d14c09","651c1c7f270f1a2b5ee1f01f","null","null","<p style=""font-size: 60px; font-family: BACS"">LcNUJZvkL</p>","","","","","","","","",""
"html-keyboard-response","23","30631","0.0-8.0-0.15","5f0d65ef2ad0c60009209f0f","650c16f0f2faf8d7a0d14c09","651c1c7f270f1a2b5ee1f01f","null","null","<p style=""font-size: 60px; font-family: BACS"">mkmJNLUOk</p>","","","","","","","","",""
"html-keyboard-response","24","31634","0.0-8.0-0.16","5f0d65ef2ad0c60009209f0f","650c16f0f2faf8d7a0d14c09","651c1c7f270f1a2b5ee1f01f","null","null","<p style=""font-size: 60px; font-family: BACS"">kLvdNmvG</p>","","","","","","","","",""
"html-keyboard-response","25","32648","0.0-8.0-0.17","5f0d65ef2ad0c60009209f0f","650c16f0f2faf8d7a0d14c09","651c1c7f270f1a2b5ee1f01f","null","null","<p style=""font-size: 60px; font-family: BACS"">rbYbuYbN</p>","","","","","","","","",""
"html-keyboard-response","26","33650","0.0-8.0-0.18","5f0d65ef2ad0c60009209f0f","650c16f0f2faf8d7a0d14c09","651c1c7f270f1a2b5ee1f01f","null","null","<p style=""font-size: 60px; font-family: BACS"">hbmADOAK</p>","","","","","","","","",""
"html-keyboard-response","27","34666","0.0-8.0-0.19","5f0d65ef2ad0c60009209f0f","650c16f0f2faf8d7a0d14c09","651c1c7f270f1a2b5ee1f01f","null","null","<p style=""font-size: 60px; font-family: BACS"">mkmJNYbN</p>","","","","","","","","",""
"html-keyboard-response","28","35681","0.0-8.0-0.20","5f0d65ef2ad0c60009209f0f","650c16f0f2faf8d7a0d14c09","651c1c7f270f1a2b5ee1f01f","null","null","<p style=""font-size: 60px; font-family: BACS"">adkrmZb</p>","","","","","","","","",""
"html-keyboard-response","29","36683","0.0-8.0-0.21","5f0d65ef2ad0c60009209f0f","650c16f0f2faf8d7a0d14c09","651c1c7f270f1a2b5ee1f01f","null","null","<p style=""font-size: 60px; font-family: BACS"">rbYbuLUOk</p>","","","","","","","","",""
"html-keyboard-response","30","37697","0.0-8.0-0.22","5f0d65ef2ad0c60009209f0f","650c16f0f2faf8d7a0d14c09","651c1c7f270f1a2b5ee1f01f","null","null","<p style=""font-size: 60px; font-family: BACS"">OYuvbYbN</p>","","","","","","","","",""
"html-keyboard-response","31","38699","0.0-8.0-0.23","5f0d65ef2ad0c60009209f0f","650c16f0f2faf8d7a0d14c09","651c1c7f270f1a2b5ee1f01f","null","null","<p style=""font-size: 60px; font-family: BACS"">ckdAmMAB</p>","","","","","","","","",""
"html-keyboard-response","32","39714","0.0-8.0-0.24","5f0d65ef2ad0c60009209f0f","650c16f0f2faf8d7a0d14c09","651c1c7f270f1a2b5ee1f01f","null","null","<p style=""font-size: 60px; font-family: BACS"">kNuamZb</p>","","","","","","","","",""
"html-keyboard-response","33","40730","0.0-8.0-0.25","5f0d65ef2ad0c60009209f0f","650c16f0f2faf8d7a0d14c09","651c1c7f270f1a2b5ee1f01f","null","null","<p style=""font-size: 60px; font-family: BACS"">AYkEhDOAK</p>","","","","","","","","",""
"html-keyboard-response","34","41732","0.0-8.0-0.26","5f0d65ef2ad0c60009209f0f","650c16f0f2faf8d7a0d14c09","651c1c7f270f1a2b5ee1f01f","null","null","<p style=""font-size: 60px; font-family: BACS"">YlCPBMCkm</p>","","","","","","","","",""
"html-keyboard-response","35","42747","0.0-8.0-0.27","5f0d65ef2ad0c60009209f0f","650c16f0f2faf8d7a0d14c09","651c1c7f270f1a2b5ee1f01f","null","null","<p style=""font-size: 60px; font-family: BACS"">RYtkcCdt</p>","","","","","","","","",""
"html-keyboard-response","36","43748","0.0-8.0-0.28","5f0d65ef2ad0c60009209f0f","650c16f0f2faf8d7a0d14c09","651c1c7f270f1a2b5ee1f01f","null","null","<p style=""font-size: 60px; font-family: BACS"">ckdAmMCkm</p>","","","","","","","","",""
"html-keyboard-response","37","44764","0.0-8.0-0.29","5f0d65ef2ad0c60009209f0f","650c16f0f2faf8d7a0d14c09","651c1c7f270f1a2b5ee1f01f","null","null","<p style=""font-size: 60px; font-family: BACS"">YKRkRCdc</p>","","","","","","","","",""
"html-keyboard-response","38","45778","0.0-8.0-0.30","5f0d65ef2ad0c60009209f0f","650c16f0f2faf8d7a0d14c09","651c1c7f270f1a2b5ee1f01f","null","null","<p style=""font-size: 60px; font-family: BACS"">rbYbumvG</p>","","","","","","","","",""
"html-keyboard-response","39","46795","0.0-8.0-0.31","5f0d65ef2ad0c60009209f0f","650c16f0f2faf8d7a0d14c09","651c1c7f270f1a2b5ee1f01f","null","null","<p style=""font-size: 60px; font-family: BACS"">RtRhMCkm</p>","","","","","","","","",""
"html-keyboard-response","40","47811","0.0-8.0-0.32","5f0d65ef2ad0c60009209f0f","650c16f0f2faf8d7a0d14c09","651c1c7f270f1a2b5ee1f01f","null","null","<p style=""font-size: 60px; font-family: BACS"">kNuaZvkL</p>","","","","","","","","",""
"html-keyboard-response","41","48812","0.0-8.0-0.33","5f0d65ef2ad0c60009209f0f","650c16f0f2faf8d7a0d14c09","651c1c7f270f1a2b5ee1f01f","null","null","<p style=""font-size: 60px; font-family: BACS"">GLYrAmZb</p>","","","","","","","","",""
"html-keyboard-response","42","49827","0.0-8.0-0.34","5f0d65ef2ad0c60009209f0f","650c16f0f2faf8d7a0d14c09","651c1c7f270f1a2b5ee1f01f","null","null","<p style=""font-size: 60px; font-family: BACS"">mBbKMCkm</p>","","","","","","","","",""
"html-keyboard-response","43","50831","0.0-8.0-0.35","5f0d65ef2ad0c60009209f0f","650c16f0f2faf8d7a0d14c09","651c1c7f270f1a2b5ee1f01f","null","null","<p style=""font-size: 60px; font-family: BACS"">LcNUJYbN</p>","","","","","","","","",""
"html-keyboard-response","44","51844","0.0-8.0-0.36","5f0d65ef2ad0c60009209f0f","650c16f0f2faf8d7a0d14c09","651c1c7f270f1a2b5ee1f01f","null","null","<p style=""font-size: 60px; font-family: BACS"">vAarmvG</p>","","","","","","","","",""
